NAME,NODE_KIND,details,stingray_bc,stingray_tc,target_core,stim_name,core_a_stim_name,core_a_ns_stim_name,periph_instances,core_mem,data_mem,priority,debug_interface,target_dma,sysclk_src,divcore,divbus,divslow,periph_clk_src,periph_clk_div,periph_clk_cfg,owner,group,stingray_vectors,uvm_test_name,uvm_main_seq,pdm_tickets,postlayout_pdm_tickets,periph_domain
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_eMMC44_8bit_DDR,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_eMMC44_8bit_DDR_DLL_EN,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_eMMC44_FB_8bit_DDR_ACK_DLL_EN_OV,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_eMMC44_FB_8bit_DDR_ACK_RST_EN_PAD_OV-Usr_Part,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_eMMC44_FastBoot_8bit_DDR-Boot_Part,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_eMMC51_8bit_DDR-Boot,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_eMMC51_FB_8bit_DDR_ACK-Usr_Part,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_eMMC_8bit_DDR_ACK,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_eMMC_FB_4bit_DDR_NOACK,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
Dual_Internal-CM33_FlexSPI0_NOR-A35_USDHC0_eMMC_FB_4bit_SDR_ACK,PLANNED_COVERAGE,,rtl_upf,rom_default_usb,,,,,,,,1,,,,,,,,,,Shockley,sys_boot_rtl,sys_boot,,,,,
